measured_on,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Generation,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Quantity Consumed For Electricity,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Total Fuel Consumed,"Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed"
2015-01-01,4019.32,67320.0,67320.0,115.368,9074.0,9074.0
2015-02-01,3738.881,62623.0,62623.0,107.318,8441.0,8441.0
2015-03-01,3896.738,65267.0,65267.0,111.849,8798.0,8798.0
2015-04-01,3440.924,57633.0,57633.0,98.766,7769.0,7769.0
2015-05-01,3758.227,62948.0,62948.0,107.873,8485.0,8485.0
2015-06-01,4223.878,70747.0,70747.0,121.239,9536.0,9536.0
2015-07-01,4304.867,72103.0,72103.0,123.564,9719.0,9719.0
2015-08-01,4146.774,69455.0,69455.0,119.026,9362.0,9362.0
2015-09-01,4058.624,67979.0,67979.0,116.496,9163.0,9163.0
2015-10-01,3907.6,65449.0,65449.0,112.161,8822.0,8822.0
2015-11-01,3621.06,60650.0,60650.0,103.936,8175.0,8175.0
2015-12-01,4125.107,69092.0,69092.0,118.404,9313.0,9313.0
2016-01-01,3861.155,64604.0,64604.0,110.618,5845.0,5845.0
2016-02-01,3652.202,61107.0,61107.0,104.632,5529.0,5529.0
2016-03-01,3361.894,56250.0,56250.0,96.315,5089.0,5089.0
2016-04-01,3322.58,55592.0,55592.0,95.188,5030.0,5030.0
2016-05-01,3895.52,65179.0,65179.0,111.603,5897.0,5897.0
2016-06-01,3842.667,64294.0,64294.0,110.088,5818.0,5818.0
2016-07-01,3710.891,62089.0,62089.0,106.313,5618.0,5618.0
2016-08-01,3589.93,60066.0,60066.0,102.848,5435.0,5435.0
2016-09-01,3792.266,63451.0,63451.0,108.644,5741.0,5741.0
2016-10-01,3692.148,61776.0,61776.0,105.776,5590.0,5590.0
2016-11-01,3766.795,63025.0,63025.0,107.915,5703.0,5703.0
2016-12-01,3736.952,62526.0,62526.0,107.06,5657.0,5657.0
2017-01-01,3490.932,64227.0,64227.0,116.149,1406.0,1406.0
2017-02-01,3158.072,58102.0,58102.0,105.074,1271.0,1271.0
2017-03-01,3536.512,65065.0,65065.0,117.666,1424.0,1424.0
2017-04-01,3178.971,58487.0,58487.0,105.77,1280.0,1280.0
2017-05-01,3464.796,63746.0,63746.0,115.279,1395.0,1395.0
2017-06-01,3545.972,65239.0,65239.0,117.98,1428.0,1428.0
2017-07-01,3515.945,64687.0,64687.0,116.981,1416.0,1416.0
2017-08-01,3526.814,64887.0,64887.0,117.343,1420.0,1420.0
2017-09-01,3307.236,60847.0,60847.0,110.037,1332.0,1332.0
2017-10-01,2790.341,51337.0,51337.0,92.839,1124.0,1124.0
2017-11-01,3331.034,61285.0,61285.0,110.829,1341.0,1341.0
2017-12-01,3668.375,67491.0,67491.0,122.053,1477.0,1477.0
2018-01-01,3535.252,63817.0,63817.0,0.0,0.0,0.0
2018-02-01,3303.782,59638.0,59638.0,0.0,0.0,0.0
2018-03-01,3280.821,59224.0,59224.0,0.0,0.0,0.0
2018-04-01,3116.517,56258.0,56258.0,0.0,0.0,0.0
2018-05-01,3188.05,57549.0,57549.0,0.0,0.0,0.0
2018-06-01,3191.707,57615.0,57615.0,0.0,0.0,0.0
2018-07-01,3426.058,61846.0,61846.0,0.0,0.0,0.0
2018-08-01,3570.218,64448.0,64448.0,0.0,0.0,0.0
2018-09-01,3450.996,62296.0,62296.0,0.0,0.0,0.0
2018-10-01,3477.803,62780.0,62780.0,0.0,0.0,0.0
2018-11-01,3409.993,61556.0,61556.0,0.0,0.0,0.0
2018-12-01,3626.803,65470.0,65470.0,0.0,0.0,0.0
2019-01-01,3513.068,64224.0,64224.0,0.0,0.0,0.0
2019-02-01,3214.49,58765.0,58765.0,0.0,0.0,0.0
2019-03-01,3561.489,65109.0,65109.0,0.0,0.0,0.0
2019-04-01,3304.124,60404.0,60404.0,0.0,0.0,0.0
2019-05-01,3074.112,56199.0,56199.0,0.0,0.0,0.0
2019-06-01,3123.049,57093.0,57093.0,0.0,0.0,0.0
2019-07-01,3446.097,63000.0,63000.0,0.0,0.0,0.0
2019-08-01,3595.19,65725.0,65725.0,0.0,0.0,0.0
2019-09-01,3309.889,60510.0,60510.0,0.0,0.0,0.0
2019-10-01,2946.94,53874.0,53874.0,0.0,0.0,0.0
2019-11-01,3205.064,58593.0,58593.0,0.0,0.0,0.0
2019-12-01,3458.488,63226.0,63226.0,0.0,0.0,0.0
2020-01-01,3474.602,65809.0,65809.0,0.0,0.0,0.0
2020-02-01,3125.461,59196.0,59196.0,0.0,0.0,0.0
2020-03-01,3293.321,62375.0,62375.0,0.0,0.0,0.0
2020-04-01,3082.248,58377.0,58377.0,0.0,0.0,0.0
2020-05-01,3274.209,62013.0,62013.0,0.0,0.0,0.0
2020-06-01,3017.763,57156.0,57156.0,0.0,0.0,0.0
2020-07-01,3389.305,64193.0,64193.0,0.0,0.0,0.0
2020-08-01,3235.956,61288.0,61288.0,0.0,0.0,0.0
2020-09-01,3209.697,60791.0,60791.0,0.0,0.0,0.0
2020-10-01,3089.036,58506.0,58506.0,0.0,0.0,0.0
2020-11-01,3109.857,58900.0,58900.0,0.0,0.0,0.0
2020-12-01,2777.545,52606.0,52606.0,0.0,0.0,0.0
2021-01-01,3064.227,59246.0,59246.0,0.0,0.0,0.0
2021-02-01,2846.068,55029.0,55029.0,0.0,0.0,0.0
2021-03-01,3178.424,61455.0,61455.0,0.0,0.0,0.0
2021-04-01,2637.283,50992.0,50992.0,0.0,0.0,0.0
2021-05-01,2854.641,55195.0,55195.0,0.0,0.0,0.0
2021-06-01,2933.085,56711.0,56711.0,0.0,0.0,0.0
2021-07-01,2850.343,55112.0,55112.0,0.0,0.0,0.0
2021-08-01,2832.077,54758.0,54758.0,0.0,0.0,0.0
2021-09-01,2874.155,55572.0,55572.0,0.0,0.0,0.0
2021-10-01,2815.672,54441.0,54441.0,0.0,0.0,0.0
2021-11-01,2774.151,53638.0,53638.0,0.0,0.0,0.0
2021-12-01,2779.874,53749.0,53749.0,0.0,0.0,0.0
2022-01-01,3031.139,59756.0,59756.0,0.0,0.0,0.0
2022-02-01,2684.343,52919.0,52919.0,0.0,0.0,0.0
2022-03-01,2896.346,57099.0,57099.0,0.0,0.0,0.0
2022-04-01,2254.129,44438.0,44438.0,0.0,0.0,0.0
2022-05-01,2326.781,45871.0,45871.0,0.0,0.0,0.0
2022-06-01,2584.115,50943.0,50943.0,0.0,0.0,0.0
2022-07-01,2778.387,54773.0,54773.0,0.0,0.0,0.0
2022-08-01,2922.79,57620.0,57620.0,0.0,0.0,0.0
2022-09-01,2833.128,55853.0,55853.0,0.0,0.0,0.0
2022-10-01,2851.913,56223.0,56223.0,0.0,0.0,0.0
2022-11-01,2421.823,47744.0,47744.0,0.0,0.0,0.0
2022-12-01,2761.106,54433.0,54433.0,0.0,0.0,0.0
2023-01-01,3019.894,55682.0,55682.0,0.0,0.0,0.0
2023-02-01,2932.775,54076.0,54076.0,0.0,0.0,0.0
2023-03-01,3098.639,57134.0,57134.0,0.0,0.0,0.0
2023-04-01,2953.752,54463.0,54463.0,0.0,0.0,0.0
2023-05-01,3625.04,66840.0,66840.0,0.0,0.0,0.0
2023-06-01,3240.798,59755.0,59755.0,0.0,0.0,0.0
2023-07-01,3382.879,62375.0,62375.0,0.0,0.0,0.0
2023-08-01,3632.732,66982.0,66982.0,0.0,0.0,0.0
2023-09-01,3385.234,62418.0,62418.0,0.0,0.0,0.0
2023-10-01,3190.973,58836.0,58836.0,0.0,0.0,0.0
2023-11-01,3244.195,59818.0,59818.0,0.0,0.0,0.0
2023-12-01,3660.089,67486.0,67486.0,0.0,0.0,0.0
2024-01-01,3372.735,62190.0,62190.0,0.0,0.0,0.0
2024-02-01,2935.578,54129.0,54129.0,0.0,0.0,0.0
2024-03-01,3520.644,64918.0,64918.0,0.0,0.0,0.0
2024-04-01,2884.881,53195.0,53195.0,0.0,0.0,0.0
2024-05-01,3405.329,62791.0,62791.0,0.0,0.0,0.0
2024-06-01,3177.376,58588.0,58588.0,0.0,0.0,0.0
2024-07-01,3293.397,60728.0,60728.0,0.0,0.0,0.0
2024-08-01,3328.292,61371.0,61371.0,0.0,0.0,0.0
2024-09-01,3191.308,58845.0,58845.0,0.0,0.0,0.0
2024-10-01,3088.293,56946.0,56946.0,0.0,0.0,0.0
2024-11-01,3293.73,60734.0,60734.0,0.0,0.0,0.0
2024-12-01,3445.437,63531.0,63531.0,0.0,0.0,0.0
