measured_on,"Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2019-05-01,6244.348,104582.0,104582.0,99.652,1669.0,1669.0
2019-06-01,7283.44,119015.0,119015.0,26.56,434.0,434.0
2019-07-01,6815.269,112220.0,112220.0,45.731,753.0,753.0
2019-08-01,7855.937,127906.0,127906.0,7.063,115.0,115.0
2019-09-01,7761.956,126319.0,126319.0,12.044,196.0,196.0
2019-10-01,6460.41,106690.0,106690.0,53.59,885.0,885.0
2019-11-01,7813.076,126852.0,126852.0,0.924,15.0,15.0
2019-12-01,7999.716,129853.0,129853.0,6.284,102.0,102.0
2020-01-01,8013.705,129927.0,129927.0,1.295,21.0,21.0
2020-02-01,7221.604,118308.0,118308.0,51.396,842.0,842.0
2020-03-01,5857.862,100452.0,100452.0,220.138,3775.0,3775.0
2020-04-01,6579.079,109678.0,109678.0,77.921,1299.0,1299.0
2020-05-01,4766.834,88040.0,88040.0,507.166,9367.0,9367.0
2020-06-01,3010.988,62694.0,62694.0,675.012,14055.0,14055.0
2020-07-01,1811.293,45161.0,45161.0,695.707,17346.0,17346.0
2020-08-01,0.0,0.0,0.0,0.0,1.0,1.0
2020-09-01,0.0,0.0,0.0,0.0,207.0,207.0
2020-10-01,3848.429,66204.0,66204.0,134.571,2315.0,2315.0
2020-11-01,7788.883,126331.0,126331.0,5.117,83.0,83.0
2020-12-01,7818.266,127385.0,127385.0,24.734,403.0,403.0
2021-01-01,7589.924,124310.0,124310.0,39.076,640.0,640.0
2021-02-01,6478.736,106454.0,106454.0,34.264,563.0,563.0
2021-03-01,7712.09,125885.0,125885.0,19.91,325.0,325.0
2021-04-01,6191.653,102970.0,102970.0,67.347,1120.0,1120.0
2021-05-01,6962.962,115072.0,115072.0,52.038,860.0,860.0
2021-06-01,5594.962,94414.0,94414.0,93.038,1570.0,1570.0
2021-07-01,6900.139,114365.0,114365.0,57.861,959.0,959.0
2021-08-01,7883.599,128439.0,128439.0,5.401,88.0,88.0
2021-09-01,7321.314,119982.0,119982.0,20.686,339.0,339.0
2021-10-01,6895.387,112617.0,112617.0,12.613,206.0,206.0
2021-11-01,7103.352,116833.0,116833.0,41.648,685.0,685.0
2021-12-01,6986.558,115345.0,115345.0,74.442,1229.0,1229.0
2022-01-01,7569.545,123814.0,123814.0,24.455,400.0,400.0
2022-02-01,7368.448,119796.0,119796.0,4.552,74.0,74.0
2022-03-01,7556.69,123504.0,123504.0,26.31,430.0,430.0
2022-04-01,5906.3,98506.0,98506.0,58.7,979.0,979.0
2022-05-01,7622.789,124942.0,124942.0,27.211,446.0,446.0
2022-06-01,5121.757,88139.0,88139.0,138.243,2379.0,2379.0
2022-07-01,3933.989,69539.0,69539.0,149.011,2634.0,2634.0
2022-08-01,6620.651,109132.0,109132.0,15.349,253.0,253.0
2022-09-01,6987.3,115047.0,115047.0,44.7,736.0,736.0
2022-10-01,5338.59,89863.0,89863.0,95.41,1606.0,1606.0
2022-11-01,7820.599,127013.0,127013.0,2.401,39.0,39.0
2022-12-01,7937.538,129369.0,129369.0,15.462,252.0,252.0
2023-01-01,8075.831,131217.0,131217.0,1.169,19.0,19.0
2023-02-01,7222.727,117564.0,117564.0,2.273,37.0,37.0
2023-03-01,7611.144,124322.0,124322.0,24.856,406.0,406.0
2023-04-01,6757.197,113026.0,113026.0,126.803,2121.0,2121.0
2023-05-01,7432.039,122376.0,122376.0,39.961,658.0,658.0
2023-06-01,5493.531,93310.0,93310.0,135.469,2301.0,2301.0
2023-07-01,4712.771,81865.0,81865.0,143.229,2488.0,2488.0
2023-08-01,7904.0,129295.0,129295.0,0.0,0.0,0.0
2023-09-01,7417.636,122760.0,122760.0,80.364,1330.0,1330.0
2023-10-01,6460.7,106169.0,106169.0,14.3,235.0,235.0
2023-11-01,7370.812,121483.0,121483.0,60.188,992.0,992.0
2023-12-01,7571.106,124087.0,124087.0,24.894,408.0,408.0
2024-01-01,6848.718,113522.0,113522.0,44.282,734.0,734.0
2024-02-01,7362.73,119995.0,119995.0,2.27,37.0,37.0
2024-03-01,7419.958,121805.0,121805.0,20.042,329.0,329.0
2024-04-01,6088.812,104458.0,104458.0,217.188,3726.0,3726.0
2024-05-01,6156.191,103763.0,103763.0,101.809,1716.0,1716.0
2024-06-01,4195.853,73867.0,73867.0,171.147,3013.0,3013.0
2024-07-01,3715.739,67096.0,67096.0,162.261,2930.0,2930.0
2024-08-01,7054.443,117391.0,117391.0,62.557,1041.0,1041.0
2024-09-01,7543.056,124186.0,124186.0,1.944,32.0,32.0
2024-10-01,6089.323,100787.0,100787.0,25.677,425.0,425.0
2024-11-01,7624.55,125141.0,125141.0,16.45,270.0,270.0
2024-12-01,7934.781,129778.0,129778.0,4.219,69.0,69.0
